Time	GLC	G6P	F6P	FBP
198.6666667	1.198815128	3.128793679	0.128455544	1.817947721
199.3333333	1.191684584	3.13613206	0.125306324	1.831657955
200	1.172264149	3.096730755	0.126306867	1.769227638
200.6666667	1.185337462	3.103378887	0.12222083	1.719684114
201.3333333	1.161164543	3.139308948	0.132272353	1.816719629
202	1.157420078	3.111385621	0.136165016	1.782585716
202.6666667	1.150658986	3.12137491	0.12093564	1.911642318
203.3333333	1.141077899	3.092210976	0.130147918	1.824696567
204	1.1294145	3.105684933	0.130406086	1.877980004
204.6666667	1.130836305	3.134326146	0.127285097	1.901785376
205.3333333	1.130976594	3.135116583	0.12701797	1.947547951
206	1.11693225	3.120127417	0.127475246	1.859338003
206.6666667	1.110867174	3.127075664	0.125779425	1.896193474
207.3333333	1.096442016	3.122178013	0.132416028	1.882667974
208	1.09739414	3.113180536	0.130967683	2.013775809
208.6666667	1.086267612	3.113595012	0.137288459	1.894374436
209.3333333	1.096951471	3.110445149	0.133473174	1.880102191
210	1.075924568	3.154179595	0.132284788	1.930506823
210.6666667	1.065921027	3.162670308	0.133882422	2.049401546
211.3333333	1.069664632	3.150136918	0.124126655	1.862470067
212	1.062677296	3.133729392	0.127356678	1.992757964
212.6666667	1.027887507	3.126440727	0.128936526	1.91112595
213.3333333	1.050047034	3.125670264	0.121379007	1.950091972
214	1.028472818	3.121460221	0.12742077	1.942292601
214.6666667	1.009288293	3.085349868	0.134349862	1.937810755
215.3333333	1.007071965	3.085160127	0.124135607	2.003040598
216	0.995906542	3.098567263	0.124632534	2.025457351
216.6666667	0.990761694	3.090644843	0.124303573	1.98848226
217.3333333	0.998198658	3.114885371	0.124800794	2.043345621
218	0.990359451	3.097706073	0.129851923	2.023609625
218.6666667	0.993883733	3.120284058	0.106394332	2.015024546
219.3333333	0.969161563	3.107135592	0.133827095	1.989827062
220	0.956593099	3.094971076	0.125849876	2.089667933
220.6666667	0.962863333	3.091494414	0.126465513	2.046151664
221.3333333	0.936162841	3.089734026	0.127218454	2.086100076
222	0.940421776	3.089631396	0.1319962	2.143628257
